Item,Description,Qty,Price
FernandesMontereyEliteTremBC,Fernandes Monterey® Elite Tremolo Black Cherry with Original Hard Case,1,"TK95,000.00"
Exchange,Strings exchange,1,TK400.00
ReverendKingboltSatinArmyGreenZibraPickups,Reverend Kingbolt Guitar Satin Army Green with Zibra Pickups with Original Hard Case,1,"TK80,000.00"
BreedlovePursuitConcertMahagony,Breedlove Pursuit Concert Mahogany Acoustic-Electric Guitar Natural with original gig bag,1,"TK40,500.00"
AllPartsTallSaddleBlackBP-2299-003,"High Saddle for Low Profile Locking Tremolo, Black, with Screw and Block",1,"TK1,850.00"
FulltoneCSWAH,Fulltone CLYDE Standard Wah,1,"TK16,900.00"
AllPartsMediumSaddleBlackBP-2298-003,"Medium Saddle for Low Profile Locking Tremolo, Black, with Screw and Block",1,"TK1,850.00"
AllPartsLowSaddleBlackBP-2297-003,"Low Saddle for Low Profile Locking Tremolo, Black, with Screw & Block",1,"TK1,850.00"
SDSH14-B,Seymour Duncan SH14 Custom 5 Alnico Humbucker Pickup,1,"TK7,500.00"
Pop Filter,On Stage Pop Blocker,1,"TK2,650.00"
Audio Interface,Universal Audio Apollo QUAD - Thunderbolt,1,"TK225,000.00"
EHXMBD,EHX Memory Boy Deluxe Delay,1,"TK16,500.00"
ReverendVolcanoRAFMRedBurst,Reverend Volcano RA FM Guitar Red Burst with Original Hard Case,1,"TK90,000.00"
FernandesRavelleDeluxeTremSusSW,Fernandes Ravelle® Deluxe Tremolo Sustainer Snow White with Original Hard Case,1,"TK95,000.00"
AllPartsTHE KEYIntonatingToolLT-0868-000,"The Key"" Intonating Tool for Floyd Rose® Tremolos. Securely holds saddles in place after loosening them. Twist the knob to make micro-adjustments.",1,"TK3,000.00"
AllPartsPickguardStratocasterPG-0995-050,1HB 2SC Parchment 3-ply Pickguard for Stratocaster®,1,"TK2,450.00"
Midi Cable,Pro Co 1' 5-pin/3-cond MIDI Cable (SN:ME1NV),1,TK410.00
AllPartsCarlingDPDTPedalFootSwitchEP-4155-000,Carling #316-PP Double pole double throw (DPDT) Foot Switch for Pedals. 3A 125V.,1,"TK2,200.00"
AllPartsNutsandWashersforPlasticJacksEP-4973-000,"Extra nuts and washers for plastic jacks. 2 chrome nuts, 2 black washers, 2 black cone washers.",1,TK425.00
AllPartsSwitchcraftWhiteOn-OnSlideSwitchEP-0260-025,"Switchcraft On-On Slide Switch, for Jazzmaster® Jaguar® Brian May, White knob with screws.",1,TK600.00
